check_id,title,subsection_language,source_url,num_code_blocks_in_subsection,num_variants,base_code,optimized_code_1,optimized_code_2,optimized_code_3,optimized_code_4,optimized_code_5,optimized_code_6,optimized_code_7
PWR009,PWR009: Use OpenMP teams to offload work to GPU,C,https://raw.githubusercontent.com/codee-com/open-catalog/main/Checks/PWR009/README.md,2,1,"#pragma omp target map(to: A[0:m][0:p], B[0:p][0:n], m, n, p) \
        map(tofrom: C[0:m][0:n])
{
  #pragma omp parallel default(none) shared(A, B, C, m, n, p)
  {
    #pragma omp for schedule(auto)
    for (size_t i = 0; i < m; i++) {
      for (size_t j = 0; j < n; j++) {
        for (size_t k = 0; k < p; k++) {
          C[i][j] += A[i][k] * B[k][j];
        }
      }
    }
  } // end parallel
} // end target","#pragma omp target teams distribute parallel for \
        map(to: A[0:m][0:p], B[0:p][0:n], m, n, p) shared(A, B, m, n, p) \
        map(tofrom: C[0:m][0:n]) schedule(auto)
for (size_t i = 0; i < m; i++) {
  for (size_t j = 0; j < n; j++) {
    for (size_t k = 0; k < p; k++) {
      C[i][j] += A[i][k] * B[k][j];
    }
  }
}",,,,,,
PWR009,PWR009: Use OpenMP teams to offload work to GPU,Fortran,https://raw.githubusercontent.com/codee-com/open-catalog/main/Checks/PWR009/README.md,2,1,"!$omp target map(to: A, B) map(tofrom: C)
!$omp parallel default(none) private(i, j, k) shared(A, B, C)
!$omp do
do j = 1, size(C, 2)
  do k = 1, size(C, 2)
    do i = 1, size(C, 1)
      C(i, j) = C(i, j) + A(i, k) * B(k, j)
    end do
  end do
end do
!$omp end do
!$omp end parallel
!$omp end target","!$omp target teams distribute map(to: A, B) map(tofrom: C)
!$omp parallel default(none) private(i, j, k) shared(A, B, C)
!$omp do
do j = 1, size(C, 2)
  do k = 1, size(C, 2)
    do i = 1, size(C, 1)
      C(i, j) = C(i, j) + A(i, k) * B(k, j)
    end do
  end do
end do
!$omp end do
!$omp end parallel
!$omp end target",,,,,,
PWR012,PWR012: Pass only required fields from derived type as arguments to minimize data movements,C,https://raw.githubusercontent.com/codee-com/open-catalog/main/Checks/PWR012/README.md,2,1,"// example.c
#include <stdlib.h>

typedef struct {
  int A[1000];
  int B[1000];
} data;

__attribute__((pure)) int foo(const data *d) {
  int result = 0;
  for (int i = 0; i < 1000; i++) {
    result += d->A[i];
  }
  return result;
}

void example() {
  data *d = (data *)malloc(sizeof(data));
  for (int i = 0; i < 1000; i++) {
    d->A[i] = d->B[i] = 1;
  }
  int result = foo(d);
  free(d);
}","// solution.c
#include <stdlib.h>

typedef struct {
  int A[1000];
  int B[1000];
} data;

__attribute__((pure)) int foo(const int *A) {
  int result = 0;
  for (int i = 0; i < 1000; i++) {
    result += A[i];
  }
  return result;
}

void solution() {
  data *d = (data *)malloc(sizeof(data));
  for (int i = 0; i < 1000; i++) {
    d->A[i] = d->B[i] = 1;
  }
  int result = foo(d->A);
  free(d);
}",,,,,,
PWR012,PWR012: Pass only required fields from derived type as arguments to minimize data movements,Fortran,https://raw.githubusercontent.com/codee-com/open-catalog/main/Checks/PWR012/README.md,2,1,"! example.f90
program example

  implicit none

  type data
    integer :: a(10)
    integer :: b(10)
  end type data

contains

  pure subroutine foo(d)
    implicit none
    type(data), intent(in) :: d
    integer :: i, sum

    sum = 0
    do i = 1, 10
      sum = sum + d%a(i)
    end do
  end subroutine foo

  pure subroutine bar()
    implicit none
    type(data) :: d
    integer :: i

    do i = 1, 10
      d%a(i) = 1
      d%b(i) = 1
    end do

    call foo(d)
  end subroutine bar

end program example","! solution.f90
program solution

  implicit none

  type data
    integer :: a(10)
    integer :: b(10)
  end type data

contains

  pure subroutine foo(a)
    implicit none
    integer, intent(in) :: a(:)
    integer :: i, sum

    sum = 0
    do i = 1, size(a, 1)
      sum = sum + a(i)
    end do
  end subroutine foo

  pure subroutine bar()
    implicit none
    type(data) :: d
    integer :: i

    do i = 1, 10
      d%a(i) = 1
      d%b(i) = 1
    end do

    call foo(d%a)
  end subroutine bar

end program solution",,,,,,
PWR013,PWR013: Avoid copying unused variables to or from the GPU,C,https://raw.githubusercontent.com/codee-com/open-catalog/main/Checks/PWR013/README.md,2,1,"void example(double *A, double *B, double *C) {
  #pragma omp target teams distribute parallel for schedule(auto) shared(A, B) \
          map(to: A[0:100], B[0:100]) map(tofrom: C[0:100])
  for (int i = 0; i < 100; i++) {
    C[i] += A[i];
  }
}","void example(double *A, double *B, double *C) {
  #pragma omp target teams distribute parallel for schedule(auto) shared(A) \
          map(to: A[0:100]) map(tofrom: C[0:100])
  for (int i = 0; i < 100; i++) {
    C[i] += A[i];
  }
}",,,,,,
PWR013,PWR013: Avoid copying unused variables to or from the GPU,Fortran,https://raw.githubusercontent.com/codee-com/open-catalog/main/Checks/PWR013/README.md,2,1,"subroutine example(A, B, C)
  implicit none
  integer, intent(in) :: A(:), B(:)
  integer, intent(inout) :: C(:)
  integer :: i

  !$omp target teams distribute parallel do schedule(auto) default(none) &
  !$omp& shared(A, B, C) private(i) map(to: A, B) map(tofrom: C)
  do i = 1, size(C, 1)
    C(i) = C(i) + A(i)
  end do
  !$omp end target teams distribute parallel do
end subroutine example","subroutine example(A, B, C)
  implicit none
  integer, intent(in) :: A(:), B(:)
  integer, intent(inout) :: C(:)
  integer :: i

  !$omp target teams distribute parallel do schedule(auto) default(none) &
  !$omp& shared(A, C) private(i) map(to: A) map(tofrom: C)
  do i = 1, size(C, 1)
    C(i) = C(i) + A(i)
  end do
  !$omp end target teams distribute parallel do
end subroutine example",,,,,,
PWR015,PWR015: Avoid copying unnecessary array elements to or from the GPU,C,https://raw.githubusercontent.com/codee-com/open-catalog/main/Checks/PWR015/README.md,2,1,"void example() {
  int A[100], B[100], sum[100];
  #pragma omp target map(to: A[0:100], B[0:100]) map(from: sum[0:100])
  #pragma omp parallel for private(i)
  for (int i = 0; i < 50; i++) {
    sum[i] = A[i] + B[i];
  }
}","void example() {
  int A[100], B[100], sum[100];
  #pragma omp target map(to: A[0:50], B[0:50]) map(from: sum[0:50])
  #pragma omp parallel for private(i)
  for (int i = 0; i < 50; i++) {
    sum[i] = A[i] + B[i];
  }
}",,,,,,
PWR015,PWR015: Avoid copying unnecessary array elements to or from the GPU,Fortran,https://raw.githubusercontent.com/codee-com/open-catalog/main/Checks/PWR015/README.md,2,1,"subroutine example(A, B, sum)
  implicit none
  integer, intent(in) :: A(:), B(:)
  integer, intent(out) :: sum(:)
  integer :: i

  !$omp target parallel do default(none) shared(A, B, sum) private(i) &
  !$omp& map(to: a, b) map(from: sum)
  do i = 1, size(sum, 1) / 2
    sum(i) = A(i) + B(i)
  end do
  !$omp end target parallel do
end subroutine example","subroutine example(A, B, sum)
  implicit none
  integer, intent(in) :: A(:), B(:)
  integer, intent(out) :: sum(:)
  integer :: i, half_size

  half_size = size(sum, 1) / 2

  !$omp target parallel do default(none) shared(A, B, sum) private(i) &
  !$omp& map(to: a(1:half_size), b(1:half_size)) map(from: sum(1:half_size))
  do i = 1, half_size
    sum(i) = A(i) + B(i)
  end do
  !$omp end target parallel do
end subroutine example",,,,,,
PWR016,PWR016: Use separate arrays instead of an Array-of-Structs,C,https://raw.githubusercontent.com/codee-com/open-catalog/main/Checks/PWR016/README.md,2,1,"typedef struct {
  int x;
  int y;
  int z;
} point;

void example() {
  point points[1000];
  for (int i = 0; i < 1000; i++) {
    points[i].x = 1;
    points[i].y = 1;
  }
}","void example() {
  int points_x[1000];
  int points_y[1000];
  int points_z[1000];
  for (int i = 0; i < 1000; i++) {
    points_x[i] = 1;
    points_y[i] = 1;
  }
}",,,,,,
PWR016,PWR016: Use separate arrays instead of an Array-of-Structs,Fortran,https://raw.githubusercontent.com/codee-com/open-catalog/main/Checks/PWR016/README.md,2,1,"program main
  implicit none

  type point
    integer :: x
    integer :: y
    integer :: z
  end type point

contains

  subroutine foo()
    implicit none
    type(point) :: points(1000)
    integer :: i

    do i = 1, 1000
      points(i)%x = 1
      points(i)%y = 1
    end do
  end subroutine foo

end program main","subroutine foo()
  implicit none
  integer :: points_x(1000), points_y(1000), points_z(1000)
  integer :: i

  do i = 1, 1000
    points_x(i) = 1
    points_y(i) = 1
  end do
end subroutine foo",,,,,,
