dataset_token,source_dataset,mcq_questions,model_id,fewshot_k,layers,strength,seed,baseline_accuracy,baseline_invalid_rate,baseline_correct,baseline_invalid,baseline_total,baseline_cache_path,steered_accuracy,steered_invalid_rate,steered_correct,steered_invalid,steered_total,steered_cache_path,steered_vector_path,delta_accuracy,delta_invalid_rate
tssb_mcq_k0_seed42,,mcq_cache/steering_100/tssb/mcq/tssb_mcq_k0_seed42.json,meta-llama/CodeLlama-7b-Instruct-hf,0,"17,18,19,20,21",1.0,42,,,,,,,0.493,0.0,2465,0,5000,mcq_cache/steering_100/tssb/steered_tssb_mcq_k0_seed42_meta-llama-CodeLlama-7b-Instruct-hf_k0_L17_18_19_20_21_a1p0_seed42_es0_el5000.json,vectors/python/correctness_vector_100_codellama-7b-instruct-hf_pca_center_suffix.svec,,
tssb_mcq_k0_seed42,,mcq_cache/steering_100/tssb/mcq/tssb_mcq_k0_seed42.json,meta-llama/CodeLlama-7b-Instruct-hf,0,"17,18,19,20,21",1.5,42,,,,,,,0.4924,0.0,2462,0,5000,mcq_cache/steering_100/tssb/steered_tssb_mcq_k0_seed42_meta-llama-CodeLlama-7b-Instruct-hf_k0_L17_18_19_20_21_a1p5_seed42_es0_el5000.json,vectors/python/correctness_vector_100_codellama-7b-instruct-hf_pca_center_suffix.svec,,
tssb_mcq_k0_seed42,,mcq_cache/steering_100/tssb/mcq/tssb_mcq_k0_seed42.json,meta-llama/CodeLlama-7b-Instruct-hf,0,"17,18,19,20,21",2.0,42,,,,,,,0.4922,0.0,2461,0,5000,mcq_cache/steering_100/tssb/steered_tssb_mcq_k0_seed42_meta-llama-CodeLlama-7b-Instruct-hf_k0_L17_18_19_20_21_a2p0_seed42_es0_el5000.json,vectors/python/correctness_vector_100_codellama-7b-instruct-hf_pca_center_suffix.svec,,
tssb_mcq_k0_seed42,,mcq_cache/steering_100/tssb/mcq/tssb_mcq_k0_seed42.json,meta-llama/CodeLlama-7b-Instruct-hf,0,"17,18,19,20,21",2.5,42,,,,,,,0.4922,0.0,2461,0,5000,mcq_cache/steering_100/tssb/steered_tssb_mcq_k0_seed42_meta-llama-CodeLlama-7b-Instruct-hf_k0_L17_18_19_20_21_a2p5_seed42_es0_el5000.json,vectors/python/correctness_vector_100_codellama-7b-instruct-hf_pca_center_suffix.svec,,
tssb_mcq_k0_seed42,,mcq_cache/steering_100/tssb/mcq/tssb_mcq_k0_seed42.json,meta-llama/CodeLlama-7b-Instruct-hf,0,"17,18,19,20,21",3.0,42,,,,,,,0.4924,0.0,2462,0,5000,mcq_cache/steering_100/tssb/steered_tssb_mcq_k0_seed42_meta-llama-CodeLlama-7b-Instruct-hf_k0_L17_18_19_20_21_a3p0_seed42_es0_el5000.json,vectors/python/correctness_vector_100_codellama-7b-instruct-hf_pca_center_suffix.svec,,
tssb_mcq_k0_seed42,,mcq_cache/steering_100/tssb/mcq/tssb_mcq_k0_seed42.json,meta-llama/CodeLlama-7b-Instruct-hf,0,"19,20,21,22,23",1.0,42,,,,,,,0.4924,0.0,2462,0,5000,mcq_cache/steering_100/tssb/steered_tssb_mcq_k0_seed42_meta-llama-CodeLlama-7b-Instruct-hf_k0_L19_20_21_22_23_a1p0_seed42_es0_el5000.json,vectors/python/correctness_vector_100_codellama-7b-instruct-hf_pca_center_suffix.svec,,
tssb_mcq_k0_seed42,,mcq_cache/steering_100/tssb/mcq/tssb_mcq_k0_seed42.json,meta-llama/CodeLlama-7b-Instruct-hf,0,"19,20,21,22,23",1.5,42,,,,,,,0.4926,0.0,2463,0,5000,mcq_cache/steering_100/tssb/steered_tssb_mcq_k0_seed42_meta-llama-CodeLlama-7b-Instruct-hf_k0_L19_20_21_22_23_a1p5_seed42_es0_el5000.json,vectors/python/correctness_vector_100_codellama-7b-instruct-hf_pca_center_suffix.svec,,
tssb_mcq_k0_seed42,,mcq_cache/steering_100/tssb/mcq/tssb_mcq_k0_seed42.json,meta-llama/CodeLlama-7b-Instruct-hf,0,"19,20,21,22,23",2.0,42,,,,,,,0.4926,0.0,2463,0,5000,mcq_cache/steering_100/tssb/steered_tssb_mcq_k0_seed42_meta-llama-CodeLlama-7b-Instruct-hf_k0_L19_20_21_22_23_a2p0_seed42_es0_el5000.json,vectors/python/correctness_vector_100_codellama-7b-instruct-hf_pca_center_suffix.svec,,
tssb_mcq_k0_seed42,,mcq_cache/steering_100/tssb/mcq/tssb_mcq_k0_seed42.json,meta-llama/CodeLlama-7b-Instruct-hf,0,"19,20,21,22,23",2.5,42,,,,,,,0.4926,0.0,2463,0,5000,mcq_cache/steering_100/tssb/steered_tssb_mcq_k0_seed42_meta-llama-CodeLlama-7b-Instruct-hf_k0_L19_20_21_22_23_a2p5_seed42_es0_el5000.json,vectors/python/correctness_vector_100_codellama-7b-instruct-hf_pca_center_suffix.svec,,
tssb_mcq_k0_seed42,,mcq_cache/steering_100/tssb/mcq/tssb_mcq_k0_seed42.json,meta-llama/CodeLlama-7b-Instruct-hf,0,"19,20,21,22,23",3.0,42,,,,,,,0.493,0.0,2465,0,5000,mcq_cache/steering_100/tssb/steered_tssb_mcq_k0_seed42_meta-llama-CodeLlama-7b-Instruct-hf_k0_L19_20_21_22_23_a3p0_seed42_es0_el5000.json,vectors/python/correctness_vector_100_codellama-7b-instruct-hf_pca_center_suffix.svec,,
