timestamp,run_kind,dataset_token,source_dataset,mcq_questions,model_id,mode,fewshot_k,layers,strength,seed,accuracy,invalid_rate,correct,invalid,total,cache_path,vector_path,eval_limit,eval_start
1764478220.6022327,steered,tssb_mcq_k0_seed42,,mcq_cache/steering_100/tssb/mcq/tssb_mcq_k0_seed42.json,meta-llama/CodeLlama-7b-Instruct-hf,steered,0,"17,18,19,20,21",1.0,42,0.493,0.0,2465,0,5000,mcq_cache/steering_100/tssb/steered_tssb_mcq_k0_seed42_meta-llama-CodeLlama-7b-Instruct-hf_k0_L17_18_19_20_21_a1p0_seed42_es0_el5000.json,vectors/python/correctness_vector_100_codellama-7b-instruct-hf_pca_center_suffix.svec,5000,0
1764479259.6246223,steered,tssb_mcq_k0_seed42,,mcq_cache/steering_100/tssb/mcq/tssb_mcq_k0_seed42.json,meta-llama/CodeLlama-7b-Instruct-hf,steered,0,"17,18,19,20,21",1.5,42,0.4924,0.0,2462,0,5000,mcq_cache/steering_100/tssb/steered_tssb_mcq_k0_seed42_meta-llama-CodeLlama-7b-Instruct-hf_k0_L17_18_19_20_21_a1p5_seed42_es0_el5000.json,vectors/python/correctness_vector_100_codellama-7b-instruct-hf_pca_center_suffix.svec,5000,0
1764480294.4474816,steered,tssb_mcq_k0_seed42,,mcq_cache/steering_100/tssb/mcq/tssb_mcq_k0_seed42.json,meta-llama/CodeLlama-7b-Instruct-hf,steered,0,"17,18,19,20,21",2.0,42,0.4922,0.0,2461,0,5000,mcq_cache/steering_100/tssb/steered_tssb_mcq_k0_seed42_meta-llama-CodeLlama-7b-Instruct-hf_k0_L17_18_19_20_21_a2p0_seed42_es0_el5000.json,vectors/python/correctness_vector_100_codellama-7b-instruct-hf_pca_center_suffix.svec,5000,0
1764481333.9794064,steered,tssb_mcq_k0_seed42,,mcq_cache/steering_100/tssb/mcq/tssb_mcq_k0_seed42.json,meta-llama/CodeLlama-7b-Instruct-hf,steered,0,"17,18,19,20,21",2.5,42,0.4922,0.0,2461,0,5000,mcq_cache/steering_100/tssb/steered_tssb_mcq_k0_seed42_meta-llama-CodeLlama-7b-Instruct-hf_k0_L17_18_19_20_21_a2p5_seed42_es0_el5000.json,vectors/python/correctness_vector_100_codellama-7b-instruct-hf_pca_center_suffix.svec,5000,0
1764482364.3579626,steered,tssb_mcq_k0_seed42,,mcq_cache/steering_100/tssb/mcq/tssb_mcq_k0_seed42.json,meta-llama/CodeLlama-7b-Instruct-hf,steered,0,"17,18,19,20,21",3.0,42,0.4924,0.0,2462,0,5000,mcq_cache/steering_100/tssb/steered_tssb_mcq_k0_seed42_meta-llama-CodeLlama-7b-Instruct-hf_k0_L17_18_19_20_21_a3p0_seed42_es0_el5000.json,vectors/python/correctness_vector_100_codellama-7b-instruct-hf_pca_center_suffix.svec,5000,0
1764483371.3170304,steered,tssb_mcq_k0_seed42,,mcq_cache/steering_100/tssb/mcq/tssb_mcq_k0_seed42.json,meta-llama/CodeLlama-7b-Instruct-hf,steered,0,"19,20,21,22,23",1.0,42,0.4924,0.0,2462,0,5000,mcq_cache/steering_100/tssb/steered_tssb_mcq_k0_seed42_meta-llama-CodeLlama-7b-Instruct-hf_k0_L19_20_21_22_23_a1p0_seed42_es0_el5000.json,vectors/python/correctness_vector_100_codellama-7b-instruct-hf_pca_center_suffix.svec,5000,0
1764484366.4087443,steered,tssb_mcq_k0_seed42,,mcq_cache/steering_100/tssb/mcq/tssb_mcq_k0_seed42.json,meta-llama/CodeLlama-7b-Instruct-hf,steered,0,"19,20,21,22,23",1.5,42,0.4926,0.0,2463,0,5000,mcq_cache/steering_100/tssb/steered_tssb_mcq_k0_seed42_meta-llama-CodeLlama-7b-Instruct-hf_k0_L19_20_21_22_23_a1p5_seed42_es0_el5000.json,vectors/python/correctness_vector_100_codellama-7b-instruct-hf_pca_center_suffix.svec,5000,0
1764485362.998421,steered,tssb_mcq_k0_seed42,,mcq_cache/steering_100/tssb/mcq/tssb_mcq_k0_seed42.json,meta-llama/CodeLlama-7b-Instruct-hf,steered,0,"19,20,21,22,23",2.0,42,0.4926,0.0,2463,0,5000,mcq_cache/steering_100/tssb/steered_tssb_mcq_k0_seed42_meta-llama-CodeLlama-7b-Instruct-hf_k0_L19_20_21_22_23_a2p0_seed42_es0_el5000.json,vectors/python/correctness_vector_100_codellama-7b-instruct-hf_pca_center_suffix.svec,5000,0
1764486354.8014262,steered,tssb_mcq_k0_seed42,,mcq_cache/steering_100/tssb/mcq/tssb_mcq_k0_seed42.json,meta-llama/CodeLlama-7b-Instruct-hf,steered,0,"19,20,21,22,23",2.5,42,0.4926,0.0,2463,0,5000,mcq_cache/steering_100/tssb/steered_tssb_mcq_k0_seed42_meta-llama-CodeLlama-7b-Instruct-hf_k0_L19_20_21_22_23_a2p5_seed42_es0_el5000.json,vectors/python/correctness_vector_100_codellama-7b-instruct-hf_pca_center_suffix.svec,5000,0
1764487344.9549668,steered,tssb_mcq_k0_seed42,,mcq_cache/steering_100/tssb/mcq/tssb_mcq_k0_seed42.json,meta-llama/CodeLlama-7b-Instruct-hf,steered,0,"19,20,21,22,23",3.0,42,0.493,0.0,2465,0,5000,mcq_cache/steering_100/tssb/steered_tssb_mcq_k0_seed42_meta-llama-CodeLlama-7b-Instruct-hf_k0_L19_20_21_22_23_a3p0_seed42_es0_el5000.json,vectors/python/correctness_vector_100_codellama-7b-instruct-hf_pca_center_suffix.svec,5000,0
1764488317.9172287,steered,tssb_mcq_k0_seed42,,mcq_cache/steering_100/tssb/mcq/tssb_mcq_k0_seed42.json,meta-llama/CodeLlama-7b-Instruct-hf,steered,0,"21,22,23,24,25",1.0,42,0.4932,0.0,2466,0,5000,mcq_cache/steering_100/tssb/steered_tssb_mcq_k0_seed42_meta-llama-CodeLlama-7b-Instruct-hf_k0_L21_22_23_24_25_a1p0_seed42_es0_el5000.json,vectors/python/correctness_vector_100_codellama-7b-instruct-hf_pca_center_suffix.svec,5000,0
1764489274.5087378,steered,tssb_mcq_k0_seed42,,mcq_cache/steering_100/tssb/mcq/tssb_mcq_k0_seed42.json,meta-llama/CodeLlama-7b-Instruct-hf,steered,0,"21,22,23,24,25",1.5,42,0.4932,0.0,2466,0,5000,mcq_cache/steering_100/tssb/steered_tssb_mcq_k0_seed42_meta-llama-CodeLlama-7b-Instruct-hf_k0_L21_22_23_24_25_a1p5_seed42_es0_el5000.json,vectors/python/correctness_vector_100_codellama-7b-instruct-hf_pca_center_suffix.svec,5000,0
1764490222.1075876,steered,tssb_mcq_k0_seed42,,mcq_cache/steering_100/tssb/mcq/tssb_mcq_k0_seed42.json,meta-llama/CodeLlama-7b-Instruct-hf,steered,0,"21,22,23,24,25",2.0,42,0.4932,0.0,2466,0,5000,mcq_cache/steering_100/tssb/steered_tssb_mcq_k0_seed42_meta-llama-CodeLlama-7b-Instruct-hf_k0_L21_22_23_24_25_a2p0_seed42_es0_el5000.json,vectors/python/correctness_vector_100_codellama-7b-instruct-hf_pca_center_suffix.svec,5000,0
1764491153.6275945,steered,tssb_mcq_k0_seed42,,mcq_cache/steering_100/tssb/mcq/tssb_mcq_k0_seed42.json,meta-llama/CodeLlama-7b-Instruct-hf,steered,0,"21,22,23,24,25",2.5,42,0.4932,0.0,2466,0,5000,mcq_cache/steering_100/tssb/steered_tssb_mcq_k0_seed42_meta-llama-CodeLlama-7b-Instruct-hf_k0_L21_22_23_24_25_a2p5_seed42_es0_el5000.json,vectors/python/correctness_vector_100_codellama-7b-instruct-hf_pca_center_suffix.svec,5000,0
1764492083.1729987,steered,tssb_mcq_k0_seed42,,mcq_cache/steering_100/tssb/mcq/tssb_mcq_k0_seed42.json,meta-llama/CodeLlama-7b-Instruct-hf,steered,0,"21,22,23,24,25",3.0,42,0.4928,0.0,2464,0,5000,mcq_cache/steering_100/tssb/steered_tssb_mcq_k0_seed42_meta-llama-CodeLlama-7b-Instruct-hf_k0_L21_22_23_24_25_a3p0_seed42_es0_el5000.json,vectors/python/correctness_vector_100_codellama-7b-instruct-hf_pca_center_suffix.svec,5000,0
