dataset_token,source_dataset,mcq_questions,model_id,fewshot_k,layers,strength,seed,baseline_accuracy,baseline_invalid_rate,baseline_correct,baseline_invalid,baseline_total,baseline_cache_path,steered_accuracy,steered_invalid_rate,steered_correct,steered_invalid,steered_total,steered_cache_path,steered_vector_path,delta_accuracy,delta_invalid_rate
tssb_mcq_k0_seed42,,mcq_cache/tssb_mcq_k0_seed42.json,meta-llama/CodeLlama-7b-Instruct-hf,0,"27,28,29,30,31",2.0,42,0.5044216976533668,0.0013230276443144627,7244,19,14361,mcq_cache/baseline_tssb_codellama-7b-instruct-hf_k0_seed42.json,,,,,,,,,
tssb_mcq_k0_seed42,,mcq_cache/tssb_mcq_k0_seed42.json,Qwen/Qwen2.5-7B-Instruct,0,"27,28,29,30,31",2.0,42,0.5802520715827588,0.0,8333,0,14361,mcq_cache/baseline_tssb_qwen2-5-7b-instruct_k0_seed42.json,,,,,,,,,
tssb_mcq_k0_seed42,,mcq_cache/tssb_mcq_k0_seed42.json,Qwen/Qwen2.5-Coder-7B-Instruct,0,"27,28,29,30,31",2.0,42,0.5989137246709839,0.0,8601,0,14361,mcq_cache/baseline_tssb_qwen2-5-coder-7b-instruct_k0_seed42.json,,,,,,,,,
tssb_mcq_k0_seed42,,mcq_cache/tssb_mcq_k0_seed42.json,Qwen/Qwen2.5-Coder-14B-Instruct,0,"27,28,29,30,31",2.0,42,0.6368637281526356,0.0,9146,0,14361,mcq_cache/baseline_tssb_qwen2-5-coder-14b-instruct_k0_seed42.json,,,,,,,,,
tssb_mcq_k1_seed42,,mcq_cache/tssb_mcq_k1_seed42.json,meta-llama/CodeLlama-7b-Instruct-hf,1,"27,28,29,30,31",2.0,42,0.5032033426183844,0.013231197771587743,7226,190,14360,mcq_cache/baseline_tssb_codellama-7b-instruct-hf_k1_seed42.json,,,,,,,,,
tssb_mcq_k1_seed42,,mcq_cache/tssb_mcq_k1_seed42.json,Qwen/Qwen2.5-7B-Instruct,1,"27,28,29,30,31",2.0,42,0.5822423398328691,0.0,8361,0,14360,mcq_cache/baseline_tssb_qwen2-5-7b-instruct_k1_seed42.json,,,,,,,,,
tssb_mcq_k1_seed42,,mcq_cache/tssb_mcq_k1_seed42.json,Qwen/Qwen2.5-Coder-7B-Instruct,1,"27,28,29,30,31",2.0,42,0.6542479108635098,6.963788300835655e-05,9395,1,14360,mcq_cache/baseline_tssb_qwen2-5-coder-7b-instruct_k1_seed42.json,,,,,,,,,
tssb_mcq_k1_seed42,,mcq_cache/tssb_mcq_k1_seed42.json,Qwen/Qwen2.5-Coder-14B-Instruct,1,"27,28,29,30,31",2.0,42,0.6715181058495822,0.0,9643,0,14360,mcq_cache/baseline_tssb_qwen2-5-coder-14b-instruct_k1_seed42.json,,,,,,,,,
tssb_mcq_k3_seed42,,mcq_cache/tssb_mcq_k3_seed42.json,meta-llama/CodeLlama-7b-Instruct-hf,3,"27,28,29,30,31",2.0,42,0.39991642290012536,0.24502019779913636,5742,3518,14358,mcq_cache/baseline_tssb_codellama-7b-instruct-hf_k3_seed42.json,,,,,,,,,
tssb_mcq_k3_seed42,,mcq_cache/tssb_mcq_k3_seed42.json,Qwen/Qwen2.5-7B-Instruct,3,"27,28,29,30,31",2.0,42,0.6257138877280959,0.0,8984,0,14358,mcq_cache/baseline_tssb_qwen2-5-7b-instruct_k3_seed42.json,,,,,,,,,
