timestamp,run_kind,dataset_token,source_dataset,mcq_questions,model_id,mode,fewshot_k,layers,strength,seed,accuracy,invalid_rate,correct,invalid,total,cache_path,vector_path,eval_limit,eval_start
1763966888.3411927,baseline,tssb_mcq_k0_seed42,,mcq_cache/tssb_mcq_k0_seed42.json,meta-llama/CodeLlama-7b-Instruct-hf,baseline,0,"27,28,29,30,31",2.0,42,0.5044216976533668,0.0013230276443144627,7244,19,14361,mcq_cache/baseline_tssb_codellama-7b-instruct-hf_k0_seed42.json,,,
1763968366.6367428,baseline,tssb_mcq_k0_seed42,,mcq_cache/tssb_mcq_k0_seed42.json,Qwen/Qwen2.5-7B-Instruct,baseline,0,"27,28,29,30,31",2.0,42,0.5802520715827588,0.0,8333,0,14361,mcq_cache/baseline_tssb_qwen2-5-7b-instruct_k0_seed42.json,,,
1763969976.628982,baseline,tssb_mcq_k0_seed42,,mcq_cache/tssb_mcq_k0_seed42.json,Qwen/Qwen2.5-Coder-7B-Instruct,baseline,0,"27,28,29,30,31",2.0,42,0.5989137246709839,0.0,8601,0,14361,mcq_cache/baseline_tssb_qwen2-5-coder-7b-instruct_k0_seed42.json,,,
1763972281.9858236,baseline,tssb_mcq_k0_seed42,,mcq_cache/tssb_mcq_k0_seed42.json,Qwen/Qwen2.5-Coder-14B-Instruct,baseline,0,"27,28,29,30,31",2.0,42,0.6368637281526356,0.0,9146,0,14361,mcq_cache/baseline_tssb_qwen2-5-coder-14b-instruct_k0_seed42.json,,,
1763974863.5446956,baseline,tssb_mcq_k1_seed42,,mcq_cache/tssb_mcq_k1_seed42.json,meta-llama/CodeLlama-7b-Instruct-hf,baseline,1,"27,28,29,30,31",2.0,42,0.5032033426183844,0.013231197771587743,7226,190,14360,mcq_cache/baseline_tssb_codellama-7b-instruct-hf_k1_seed42.json,,,
1763976333.636232,baseline,tssb_mcq_k1_seed42,,mcq_cache/tssb_mcq_k1_seed42.json,Qwen/Qwen2.5-7B-Instruct,baseline,1,"27,28,29,30,31",2.0,42,0.5822423398328691,0.0,8361,0,14360,mcq_cache/baseline_tssb_qwen2-5-7b-instruct_k1_seed42.json,,,
1763977765.7409782,baseline,tssb_mcq_k1_seed42,,mcq_cache/tssb_mcq_k1_seed42.json,Qwen/Qwen2.5-Coder-7B-Instruct,baseline,1,"27,28,29,30,31",2.0,42,0.6542479108635098,6.963788300835655e-05,9395,1,14360,mcq_cache/baseline_tssb_qwen2-5-coder-7b-instruct_k1_seed42.json,,,
1763980186.8769567,baseline,tssb_mcq_k1_seed42,,mcq_cache/tssb_mcq_k1_seed42.json,Qwen/Qwen2.5-Coder-14B-Instruct,baseline,1,"27,28,29,30,31",2.0,42,0.6715181058495822,0.0,9643,0,14360,mcq_cache/baseline_tssb_qwen2-5-coder-14b-instruct_k1_seed42.json,,,
1763983138.5998187,baseline,tssb_mcq_k3_seed42,,mcq_cache/tssb_mcq_k3_seed42.json,meta-llama/CodeLlama-7b-Instruct-hf,baseline,3,"27,28,29,30,31",2.0,42,0.39991642290012536,0.24502019779913636,5742,3518,14358,mcq_cache/baseline_tssb_codellama-7b-instruct-hf_k3_seed42.json,,,
1763984679.1278415,baseline,tssb_mcq_k3_seed42,,mcq_cache/tssb_mcq_k3_seed42.json,Qwen/Qwen2.5-7B-Instruct,baseline,3,"27,28,29,30,31",2.0,42,0.6257138877280959,0.0,8984,0,14358,mcq_cache/baseline_tssb_qwen2-5-7b-instruct_k3_seed42.json,,,
1763986199.0484228,baseline,tssb_mcq_k3_seed42,,mcq_cache/tssb_mcq_k3_seed42.json,Qwen/Qwen2.5-Coder-7B-Instruct,baseline,3,"27,28,29,30,31",2.0,42,0.6688953893299903,6.964758322886195e-05,9604,1,14358,mcq_cache/baseline_tssb_qwen2-5-coder-7b-instruct_k3_seed42.json,,,
1763988874.7768729,baseline,tssb_mcq_k3_seed42,,mcq_cache/tssb_mcq_k3_seed42.json,Qwen/Qwen2.5-Coder-14B-Instruct,baseline,3,"27,28,29,30,31",2.0,42,0.673074244323722,0.0,9664,0,14358,mcq_cache/baseline_tssb_qwen2-5-coder-14b-instruct_k3_seed42.json,,,
1763991927.382431,baseline,tssb_mcq_k5_seed42,,mcq_cache/tssb_mcq_k5_seed42.json,meta-llama/CodeLlama-7b-Instruct-hf,baseline,5,"27,28,29,30,31",2.0,42,0.27702702702702703,0.4694901086653664,3977,6740,14356,mcq_cache/baseline_tssb_codellama-7b-instruct-hf_k5_seed42.json,,,
1763993590.428235,baseline,tssb_mcq_k5_seed42,,mcq_cache/tssb_mcq_k5_seed42.json,Qwen/Qwen2.5-7B-Instruct,baseline,5,"27,28,29,30,31",2.0,42,0.633950961270549,0.0,9101,0,14356,mcq_cache/baseline_tssb_qwen2-5-7b-instruct_k5_seed42.json,,,
1763995255.7565176,baseline,tssb_mcq_k5_seed42,,mcq_cache/tssb_mcq_k5_seed42.json,Qwen/Qwen2.5-Coder-7B-Instruct,baseline,5,"27,28,29,30,31",2.0,42,0.6480913903594316,0.00013931457230426304,9304,2,14356,mcq_cache/baseline_tssb_qwen2-5-coder-7b-instruct_k5_seed42.json,,,
1763998083.8559647,baseline,tssb_mcq_k5_seed42,,mcq_cache/tssb_mcq_k5_seed42.json,Qwen/Qwen2.5-Coder-14B-Instruct,baseline,5,"27,28,29,30,31",2.0,42,0.6771384786848704,0.0,9721,0,14356,mcq_cache/baseline_tssb_qwen2-5-coder-14b-instruct_k5_seed42.json,,,
1764007124.856096,baseline,manysstubs_mcq_k3_seed42,,mcq_cache/manysstubs_mcq_k3_seed42.json,Qwen/Qwen2.5-7B-Instruct,baseline,3,"27,28,29,30,31",2.0,42,0.544500141870803,0.0,23028,0,42292,mcq_cache/baseline_manysstubs_qwen2-5-7b-instruct_k3_seed42.json,,,
1764011816.2611988,baseline,manysstubs_mcq_k3_seed42,,mcq_cache/manysstubs_mcq_k3_seed42.json,Qwen/Qwen2.5-Coder-7B-Instruct,baseline,3,"27,28,29,30,31",2.0,42,0.5678142438286201,0.0006857088811122671,24014,29,42292,mcq_cache/baseline_manysstubs_qwen2-5-coder-7b-instruct_k3_seed42.json,,,
1764017512.7576776,steered,manysstubs_mcq_k0_seed42,,mcq_cache/manysstubs_mcq_k0_seed42.json,Qwen/Qwen2.5-Coder-7B-Instruct,steered,0,last:4,2.0,42,0.7,0.0,70,0,100,mcq_cache/steered_manysstubs_mcq_k0_seed42_Qwen-Qwen2.5-Coder-7B-Instruct_k0_Llast-4_a2p0_seed42_es0_el100.json,vectors/java/behavior_manysstubs_apr_manysstubs_pairs_3k_qwen2-5-coder-7b-instruct_pca_center_suffix.svec,100,0
1764017691.493771,baseline,manysstubs_mcq_k0_seed42,,mcq_cache/manysstubs_mcq_k0_seed42.json,Qwen/Qwen2.5-Coder-7B-Instruct,baseline,0,last:4,2.0,42,0.65,0.0,65,0,100,mcq_cache/baseline_manysstubs_qwen2-5-coder-7b-instruct_k0_seed42_es0_el100.json,,100,0
1764017730.6214385,baseline,manysstubs_mcq_k0_seed42,,mcq_cache/manysstubs_mcq_k0_seed42.json,Qwen/Qwen2.5-Coder-7B-Instruct,baseline,0,last:4,2.0,42,0.65,0.0,65,0,100,mcq_cache/baseline_manysstubs_qwen2-5-coder-7b-instruct_k0_seed42_es0_el100.json,,100,0
1764017730.62275,steered,manysstubs_mcq_k0_seed42,,mcq_cache/manysstubs_mcq_k0_seed42.json,Qwen/Qwen2.5-Coder-7B-Instruct,steered,0,last:4,2.0,42,0.7,0.0,70,0,100,mcq_cache/steered_manysstubs_mcq_k0_seed42_Qwen-Qwen2.5-Coder-7B-Instruct_k0_Llast-4_a2p0_seed42_es0_el100.json,vectors/java/behavior_manysstubs_apr_manysstubs_pairs_3k_qwen2-5-coder-7b-instruct_pca_center_suffix.svec,100,0
1764021587.5500128,steered,tssb_mcq_k0_seed42,,mcq_cache/tssb_mcq_k0_seed42.json,meta-llama/CodeLlama-7b-Instruct-hf,steered,0,band:0.15:6,1.0,42,0.4938,0.0,2469,0,5000,mcq_cache/steered_tssb_mcq_k0_seed42_meta-llama-CodeLlama-7b-Instruct-hf_k0_Lband-0.15-6_a1p0_seed42_es0_el5000.json,vectors/python/behavior_tssb_correctness_behavior_apr_codellama-7b-instruct-hf_pca_center_suffix.svec,5000,0
1764022984.1464374,steered,manysstubs_mcq_k0_seed42,,mcq_cache/manysstubs_mcq_k0_seed42.json,meta-llama/CodeLlama-7b-Instruct-hf,steered,0,band:0.15:6,1.0,42,0.4944,0.0,2472,0,5000,mcq_cache/steered_manysstubs_mcq_k0_seed42_meta-llama-CodeLlama-7b-Instruct-hf_k0_Lband-0.15-6_a1p0_seed42_es0_el5000.json,vectors/java/behavior_manysstubs_apr_manysstubs_pairs_3k_codellama-7b-instruct-hf_pca_center_suffix.svec,5000,0
1764026274.103419,steered,manysstubs_mcq_k0_seed42,,mcq_cache/manysstubs_mcq_k0_seed42.json,meta-llama/CodeLlama-7b-Instruct-hf,steered,0,band:0.15:6,1.5,42,0.4854,0.0,2427,0,5000,mcq_cache/steered_manysstubs_mcq_k0_seed42_meta-llama-CodeLlama-7b-Instruct-hf_k0_Lband-0.15-6_a1p5_seed42_es0_el5000.json,vectors/java/behavior_manysstubs_apr_manysstubs_pairs_3k_codellama-7b-instruct-hf_pca_center_suffix.svec,5000,0
1764027266.451803,steered,tssb_mcq_k0_seed42,,mcq_cache/tssb_mcq_k0_seed42.json,meta-llama/CodeLlama-7b-Instruct-hf,steered,0,band:0.15:6,1.5,42,0.4822,0.0,2411,0,5000,mcq_cache/steered_tssb_mcq_k0_seed42_meta-llama-CodeLlama-7b-Instruct-hf_k0_Lband-0.15-6_a1p5_seed42_es0_el5000.json,vectors/python/behavior_tssb_correctness_behavior_apr_codellama-7b-instruct-hf_pca_center_suffix.svec,5000,0
1764029290.488619,baseline,manysstubs_mcq_k5_seed42,,mcq_cache/manysstubs_mcq_k5_seed42.json,Qwen/Qwen2.5-Coder-7B-Instruct,baseline,5,"27,28,29,30,31",2.0,42,0.562851737999527,0.0008039725703475999,23803,34,42290,mcq_cache/baseline_manysstubs_qwen2-5-coder-7b-instruct_k5_seed42.json,,0,0
1764032106.6311016,steered,manysstubs_mcq_k0_seed42,,mcq_cache/manysstubs_mcq_k0_seed42.json,meta-llama/CodeLlama-7b-Instruct-hf,steered,0,band:0.15:6,2.0,42,0.476,0.0008,2380,4,5000,mcq_cache/steered_manysstubs_mcq_k0_seed42_meta-llama-CodeLlama-7b-Instruct-hf_k0_Lband-0.15-6_a2p0_seed42_es0_el5000.json,vectors/java/behavior_manysstubs_apr_manysstubs_pairs_3k_codellama-7b-instruct-hf_pca_center_suffix.svec,5000,0
1764036160.7958484,steered,tssb_mcq_k0_seed42,,mcq_cache/tssb_mcq_k0_seed42.json,meta-llama/CodeLlama-7b-Instruct-hf,steered,0,band:0.15:6,2.0,42,0.487,0.0002,2435,1,5000,mcq_cache/steered_tssb_mcq_k0_seed42_meta-llama-CodeLlama-7b-Instruct-hf_k0_Lband-0.15-6_a2p0_seed42_es0_el5000.json,vectors/python/behavior_tssb_correctness_behavior_apr_codellama-7b-instruct-hf_pca_center_suffix.svec,5000,0
1764041171.111208,steered,manysstubs_mcq_k0_seed42,,mcq_cache/manysstubs_mcq_k0_seed42.json,meta-llama/CodeLlama-7b-Instruct-hf,steered,0,band:0.15:6,2.5,42,0.2728,0.4156,1364,2078,5000,mcq_cache/steered_manysstubs_mcq_k0_seed42_meta-llama-CodeLlama-7b-Instruct-hf_k0_Lband-0.15-6_a2p5_seed42_es0_el5000.json,vectors/java/behavior_manysstubs_apr_manysstubs_pairs_3k_codellama-7b-instruct-hf_pca_center_suffix.svec,5000,0
1764046239.29048,steered,tssb_mcq_k0_seed42,,mcq_cache/tssb_mcq_k0_seed42.json,meta-llama/CodeLlama-7b-Instruct-hf,steered,0,band:0.15:6,2.5,42,0.3934,0.2168,1967,1084,5000,mcq_cache/steered_tssb_mcq_k0_seed42_meta-llama-CodeLlama-7b-Instruct-hf_k0_Lband-0.15-6_a2p5_seed42_es0_el5000.json,vectors/python/behavior_tssb_correctness_behavior_apr_codellama-7b-instruct-hf_pca_center_suffix.svec,5000,0
1764052654.9124205,steered,manysstubs_mcq_k0_seed42,,mcq_cache/manysstubs_mcq_k0_seed42.json,meta-llama/CodeLlama-7b-Instruct-hf,steered,0,band:0.15:6,3.0,42,0.3984,0.2192,1992,1096,5000,mcq_cache/steered_manysstubs_mcq_k0_seed42_meta-llama-CodeLlama-7b-Instruct-hf_k0_Lband-0.15-6_a3p0_seed42_es0_el5000.json,vectors/java/behavior_manysstubs_apr_manysstubs_pairs_3k_codellama-7b-instruct-hf_pca_center_suffix.svec,5000,0
1764053464.4077253,steered,manysstubs_mcq_k0_seed42,,mcq_cache/manysstubs_mcq_k0_seed42.json,meta-llama/CodeLlama-7b-Instruct-hf,steered,0,band:0.35:6,1.0,42,0.4944,0.0,2472,0,5000,mcq_cache/steered_manysstubs_mcq_k0_seed42_meta-llama-CodeLlama-7b-Instruct-hf_k0_Lband-0.35-6_a1p0_seed42_es0_el5000.json,vectors/java/behavior_manysstubs_apr_manysstubs_pairs_3k_codellama-7b-instruct-hf_pca_center_suffix.svec,5000,0
1764054229.1602554,steered,manysstubs_mcq_k0_seed42,,mcq_cache/manysstubs_mcq_k0_seed42.json,meta-llama/CodeLlama-7b-Instruct-hf,steered,0,band:0.35:6,1.5,42,0.4944,0.0,2472,0,5000,mcq_cache/steered_manysstubs_mcq_k0_seed42_meta-llama-CodeLlama-7b-Instruct-hf_k0_Lband-0.35-6_a1p5_seed42_es0_el5000.json,vectors/java/behavior_manysstubs_apr_manysstubs_pairs_3k_codellama-7b-instruct-hf_pca_center_suffix.svec,5000,0
1764054995.1870146,steered,manysstubs_mcq_k0_seed42,,mcq_cache/manysstubs_mcq_k0_seed42.json,meta-llama/CodeLlama-7b-Instruct-hf,steered,0,band:0.35:6,2.0,42,0.4944,0.0,2472,0,5000,mcq_cache/steered_manysstubs_mcq_k0_seed42_meta-llama-CodeLlama-7b-Instruct-hf_k0_Lband-0.35-6_a2p0_seed42_es0_el5000.json,vectors/java/behavior_manysstubs_apr_manysstubs_pairs_3k_codellama-7b-instruct-hf_pca_center_suffix.svec,5000,0
1764055759.364294,steered,manysstubs_mcq_k0_seed42,,mcq_cache/manysstubs_mcq_k0_seed42.json,meta-llama/CodeLlama-7b-Instruct-hf,steered,0,band:0.35:6,2.5,42,0.4944,0.0,2472,0,5000,mcq_cache/steered_manysstubs_mcq_k0_seed42_meta-llama-CodeLlama-7b-Instruct-hf_k0_Lband-0.35-6_a2p5_seed42_es0_el5000.json,vectors/java/behavior_manysstubs_apr_manysstubs_pairs_3k_codellama-7b-instruct-hf_pca_center_suffix.svec,5000,0
1764056521.6264617,steered,manysstubs_mcq_k0_seed42,,mcq_cache/manysstubs_mcq_k0_seed42.json,meta-llama/CodeLlama-7b-Instruct-hf,steered,0,band:0.35:6,3.0,42,0.4944,0.0,2472,0,5000,mcq_cache/steered_manysstubs_mcq_k0_seed42_meta-llama-CodeLlama-7b-Instruct-hf_k0_Lband-0.35-6_a3p0_seed42_es0_el5000.json,vectors/java/behavior_manysstubs_apr_manysstubs_pairs_3k_codellama-7b-instruct-hf_pca_center_suffix.svec,5000,0
1764057366.6201167,steered,manysstubs_mcq_k0_seed42,,mcq_cache/manysstubs_mcq_k0_seed42.json,meta-llama/CodeLlama-7b-Instruct-hf,steered,0,band:0.55:6,1.0,42,0.4944,0.0,2472,0,5000,mcq_cache/steered_manysstubs_mcq_k0_seed42_meta-llama-CodeLlama-7b-Instruct-hf_k0_Lband-0.55-6_a1p0_seed42_es0_el5000.json,vectors/java/behavior_manysstubs_apr_manysstubs_pairs_3k_codellama-7b-instruct-hf_pca_center_suffix.svec,5000,0
1764057516.2531085,steered,tssb_mcq_k0_seed42,,mcq_cache/tssb_mcq_k0_seed42.json,meta-llama/CodeLlama-7b-Instruct-hf,steered,0,band:0.15:6,3.0,42,0.4556,0.0988,2278,494,5000,mcq_cache/steered_tssb_mcq_k0_seed42_meta-llama-CodeLlama-7b-Instruct-hf_k0_Lband-0.15-6_a3p0_seed42_es0_el5000.json,vectors/python/behavior_tssb_correctness_behavior_apr_codellama-7b-instruct-hf_pca_center_suffix.svec,5000,0
1764058193.356603,steered,manysstubs_mcq_k0_seed42,,mcq_cache/manysstubs_mcq_k0_seed42.json,meta-llama/CodeLlama-7b-Instruct-hf,steered,0,band:0.55:6,1.5,42,0.4944,0.0,2472,0,5000,mcq_cache/steered_manysstubs_mcq_k0_seed42_meta-llama-CodeLlama-7b-Instruct-hf_k0_Lband-0.55-6_a1p5_seed42_es0_el5000.json,vectors/java/behavior_manysstubs_apr_manysstubs_pairs_3k_codellama-7b-instruct-hf_pca_center_suffix.svec,5000,0
1764058321.4619353,steered,tssb_mcq_k0_seed42,,mcq_cache/tssb_mcq_k0_seed42.json,meta-llama/CodeLlama-7b-Instruct-hf,steered,0,band:0.35:6,1.0,42,0.4938,0.0,2469,0,5000,mcq_cache/steered_tssb_mcq_k0_seed42_meta-llama-CodeLlama-7b-Instruct-hf_k0_Lband-0.35-6_a1p0_seed42_es0_el5000.json,vectors/python/behavior_tssb_correctness_behavior_apr_codellama-7b-instruct-hf_pca_center_suffix.svec,5000,0
