bug_type,num_rows,example_source_id,example_category,example_bug_family,example_original_statement,example_buggy_statement,example_targeted_oracle,example_expected_failure_mode,example_file_name_updated,proposed_mutation_type,review_notes
MULTIPLY_TO_ADD,34,tests/4.5/target/test_target_device1.c,target,loop_body,A[i] = A[i] * A[i];,A[i] = A[i] + A[i];,verification checks A[i] == i*i,target computation doubles A[i] instead of squaring it,test_target_device1_MULTIPLY_TO_ADD.c,CHANGE_ASSIGNMENT,Ordinary loop-body computation changes multiplication to addition.
ACCUMULATE_TO_ASSIGN,5,tests/4.5/target_simd/test_nested_target_simd.c,target_simd,loop_body,a[i] += b[i] * c[i];,a[i] = b[i] * c[i];,"OMPVV_TEST_AND_SET(errors, (a[i] != 1 + (b[i] * c[i])))",initial value 1 is dropped from the accumulation,test_nested_target_simd_ACCUMULATE_TO_ASSIGN.c,CHANGE_ASSIGNMENT,"Accumulation is replaced by assignment, dropping the prior value."
ADD_TO_SUBTRACT,5,tests/4.5/target_simd/test_target_simd_safelen.c,target_simd,loop_body,A[i-128] += A[i];,A[i-128] -= A[i];,"OMPVV_TEST_AND_SET(errors, (A[i] != A_host[i]))",GPU computation subtracts where CPU reference adds,test_target_simd_safelen_ADD_TO_SUBTRACT.c,CHANGE_ASSIGNMENT,Ordinary loop-body computation changes addition/update to subtraction/update.
BODY_ADD_TO_SUB,4,tests/4.5/target_teams_distribute/test_target_teams_distribute_reduction_add.c,target_teams_distribute,loop_body,total += a[x] + b[x];,total -= a[x] + b[x];,oracle checks host_total == total,loop body updates reduction variable using the wrong operator,test_target_teams_distribute_reduction_add_BODY_ADD_TO_SUB.c,CHANGE_ASSIGNMENT,Ordinary reduction-body statement changes += to -=.
REDUCTION_MAX_TO_MIN,4,tests/4.5/target_teams_distribute/test_target_teams_distribute_reduction_max.c,target_teams_distribute,reduction,#pragma omp target teams distribute reduction(max:result) defaultmap(tofrom:scalar),#pragma omp target teams distribute reduction(min:result) defaultmap(tofrom:scalar),oracle checks result == host_max,target teams distribute reduction operator is changed,test_target_teams_distribute_reduction_max_REDUCTION_MAX_TO_MIN.c,CHANGE_OPERATOR,OpenMP reduction operator changes from max to min.
REDUCTION_MIN_TO_MAX,4,tests/4.5/target_teams_distribute/test_target_teams_distribute_reduction_min.c,target_teams_distribute,reduction,#pragma omp target teams distribute reduction(min:result) defaultmap(tofrom:scalar),#pragma omp target teams distribute reduction(max:result) defaultmap(tofrom:scalar),oracle checks result == host_min,target teams distribute reduction operator is changed,test_target_teams_distribute_reduction_min_REDUCTION_MIN_TO_MAX.c,CHANGE_OPERATOR,OpenMP reduction operator changes from min to max.
ADD_TO_SUB,3,tests/5.0/target/test_target_teams_num_teams.c,target,loop_body,c[i] = a[i] + b[i];,c[i] = a[i] - b[i];,oracle checks c[i] == a[i] + b[i],target teams body subtracts b instead of adding it,test_target_teams_num_teams_ADD_TO_SUB.c,CHANGE_ASSIGNMENT,Ordinary computation changes addition to subtraction.
ASSIGN_I_TO_I_PLUS1,3,tests/5.1/metadirective/test_metadirective_target_device_kind.c,metadirective,loop_body,A[i] = i;,A[i] = i + 1;,oracle checks A[i] == i,target branch writes i+1 instead of i,test_metadirective_target_device_kind_ASSIGN_I_TO_I_PLUS1.c,CHANGE_ASSIGNMENT,Ordinary assignment expression changes from i to i + 1.
BODY_BITAND_TO_BITOR,3,tests/4.5/target_teams_distribute/test_target_teams_distribute_reduction_bitand.c,target_teams_distribute,loop_body,b = b & a[x];,b = b | a[x];,oracle checks b == host_b,loop body updates reduction variable using the wrong operator,test_target_teams_distribute_reduction_bitand_BODY_BITAND_TO_BITOR.c,CHANGE_ASSIGNMENT,Ordinary loop-body computation changes bitwise AND to OR.
BODY_BITOR_TO_BITAND,3,tests/4.5/target_teams_distribute/test_target_teams_distribute_reduction_bitor.c,target_teams_distribute,loop_body,b = b | a[x];,b = b & a[x];,oracle checks b == host_b,loop body updates reduction variable using the wrong operator,test_target_teams_distribute_reduction_bitor_BODY_BITOR_TO_BITAND.c,CHANGE_ASSIGNMENT,Ordinary loop-body computation changes bitwise OR to AND.
